file,header,seq_len,query_len,edits,re_time,re_mem,shiftor_time,shiftor_mem,levenshtein_time,levenshtein_mem
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,2,0.0002114999806508422,63627264,0.0077674000058323145,63627264,0.029838799964636564,63627264
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,3,0.00018470000941306353,63627264,0.0075320000178180635,63627264,0.04142080002930015,63627264
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,4,0.0001914000022225082,63627264,0.00920369999948889,63627264,0.034315000055357814,63627264
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,5,0.00018770003225654364,63635456,0.008610499964561313,63635456,0.03875110001536086,63635456
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,0,0.00023750000400468707,63635456,0.0076360999955795705,63635456,0.02243610000004992,63635456
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,1,0.00017850002041086555,63635456,0.007507100002840161,63635456,0.02932560001499951,63635456
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,2,0.00017959997057914734,63635456,0.0076228000107221305,63635456,0.029068099975120276,63635456
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,3,0.00020130001939833164,63635456,0.014103900000918657,63643648,0.031247899984009564,63643648
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,4,0.0007531000301241875,63643648,0.007810499984771013,63643648,0.03756639995845035,63643648
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,5,0.0001841000048443675,63643648,0.009761100052855909,63643648,0.04056880000280216,63643648
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,0,5.15999854542315e-05,63647744,0.013483499991707504,63647744,0.0246851000119932,63651840
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,1,0.0002468000166118145,63651840,0.008570699952542782,63651840,0.03189650003332645,63651840
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,2,0.0001838000025600195,63651840,0.0076027000322937965,63651840,0.03245719999540597,63651840
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,3,0.0025269999750889838,63660032,0.009344799967948347,63660032,0.03413280000677332,63660032
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,4,0.00018239999189972878,63660032,0.008395200013183057,63660032,0.03869329998269677,63660032
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,20,5,0.00018050003563985229,63660032,0.007672300038393587,63660032,0.03968869999516755,63660032
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,50,0,0.0002525000018067658,63660032,0.008856100030243397,63660032,0.05738250003196299,63668224
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,50,1,0.00033409998286515474,63668224,0.00766579998889938,63668224,0.0638092000153847,63668224
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,50,2,0.00022190000163391232,63668224,0.007963099982589483,63668224,0.06768579996423796,63668224
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,50,3,0.0002510999911464751,63668224,0.017359299992676824,63668224,0.08731060003628954,63668224
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,50,4,0.0003353999927639961,63668224,0.007590900000650436,63668224,0.08656149997841567,63668224
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,50,5,0.00022380001610144973,63668224,0.008747600018978119,63668224,0.09159460000228137,63672320
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,50,0,7.06000137142837e-05,63672320,0.009072499989997596,63672320,0.05241290002595633,63672320
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,50,1,0.00028899998869746923,63672320,0.007624799967743456,63672320,0.07921039999928325,63672320
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,50,2,0.00022490002447739244,63672320,0.008051600016187876,63672320,0.06586390000302345,63672320
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,50,3,0.00021890003699809313,63672320,0.012416100013069808,63672320,0.07479729998158291,63672320
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,50,4,0.0002120999852195382,63672320,0.012157699966337532,63672320,0.07872280001174659,63672320
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,50,5,0.0002161000156775117,63672320,0.007865199993830174,63672320,0.09388360002776608,63672320
dna_low_complexity_len500_0.fasta,dna|low_complexity|len500|i0,500,50,0,4.010001430287957e-05,63672320,0.007513299991842359,63672320,0.05858020001323894,63672320
